filename,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_feature0,chroma_feature1,chroma_feature2,chroma_feature3,chroma_feature4,chroma_feature5,chroma_feature6,chroma_feature7,chroma_feature8,chroma_feature9,chroma_feature10,chroma_feature11,label
001__[pia][nod][cla]1389__1.wav,0.027707591652870178,822.6806382164048,981.0725262097949,1262.6739032451924,0.05325646033653846,-368.96795654296875,208.65869140625,-22.03230857849121,19.13031768798828,-4.204968452453613,-6.410152435302734,2.4038453102111816,-0.8510071039199829,-4.813581466674805,-16.17766761779785,-18.67654800415039,-3.5100340843200684,4.900705337524414,0.14703674614429474,0.27043554186820984,0.20704767107963562,0.07054795324802399,0.14745181798934937,0.4779045581817627,0.6264591217041016,0.1514340043067932,0.11031419038772583,0.06697633117437363,0.14854800701141357,0.48416435718536377,pia
001__[pia][nod][cla]1389__2.wav,0.030344950035214424,792.6976701721562,1011.5650485265617,1386.9039212740386,0.04599984975961539,-367.0938720703125,202.384765625,-19.639699935913086,26.754716873168945,9.071178436279297,2.546304702758789,2.95332670211792,-3.5054376125335693,-3.1470909118652344,-10.039417266845703,-17.228748321533203,-11.1482572555542,-6.7918596267700195,0.15581949055194855,0.41147395968437195,0.10517740994691849,0.08737892657518387,0.18523429334163666,0.32948076725006104,0.6537248492240906,0.1474047154188156,0.11323870718479156,0.1961231827735901,0.08887159079313278,0.1457468420267105,pia
001__[pia][nod][cla]1389__3.wav,0.043771740049123764,754.1314844163512,818.1864404282744,1282.3850661057693,0.05075495793269231,-335.0965881347656,232.03573608398438,-28.312623977661133,5.98639440536499,4.942238807678223,-6.031333923339844,2.62943434715271,-7.3755083084106445,-3.6186115741729736,1.8251863718032837,-2.982271671295166,-8.713408470153809,-7.5452494621276855,0.08378148823976517,0.25613933801651,0.4948172867298126,0.22161543369293213,0.1933445930480957,0.1969279646873474,0.7269696593284607,0.21270549297332764,0.28397688269615173,0.48404768109321594,0.16647671163082123,0.1314390003681183,pia
002__[pia][nod][cla]1382__1.wav,0.013009419664740562,780.6488259199731,1009.5360411894912,1193.5191932091345,0.05090144230769231,-460.7871398925781,207.25636291503906,-3.270106792449951,5.706172943115234,3.3882365226745605,-4.128702640533447,-16.86505126953125,-8.98373031616211,-2.6454508304595947,-0.033584125339984894,9.0680570602417,12.007624626159668,4.483360767364502,0.0799841359257698,0.4324513375759125,0.5170358419418335,0.22285906970500946,0.5029487013816833,0.2986963391304016,0.0768781527876854,0.16612912714481354,0.1113501787185669,0.2572314441204071,0.08010556548833847,0.03636391833424568,pia
002__[pia][nod][cla]1382__2.wav,0.022567223757505417,727.3303570819978,896.0244044394591,1209.834735576923,0.04133112980769231,-404.3486328125,210.58163452148438,-11.18813419342041,9.544371604919434,7.744557857513428,-7.478365421295166,-6.657485008239746,-6.823197364807129,-7.524901390075684,-10.573538780212402,-10.23530101776123,-14.190406799316406,-6.944514274597168,0.274531751871109,0.16882750391960144,0.3225923776626587,0.1395113170146942,0.3023987412452698,0.312285453081131,0.16253536939620972,0.3629963994026184,0.11625907570123672,0.17283491790294647,0.33488574624061584,0.2428472489118576,pia
002__[pia][nod][cla]1382__3.wav,0.012257077731192112,830.9590842781506,1043.3792079244804,1298.783428485577,0.05542743389423077,-447.5455017089844,201.19732666015625,-6.010096549987793,4.13093900680542,-2.9291017055511475,1.568415641784668,-18.263900756835938,-9.479813575744629,-4.485372066497803,1.4623606204986572,11.247986793518066,12.398968696594238,6.383711338043213,0.09927475452423096,0.3842703104019165,0.5415983200073242,0.22198186814785004,0.5102863311767578,0.3729834258556366,0.10555960237979889,0.20967428386211395,0.1250310093164444,0.22914211452007294,0.0876719281077385,0.08649158477783203,pia
004__[pia][nod][cla]1394__1.wav,0.07153166830539703,1030.1743325701043,1097.6772283138125,1856.0792893629807,0.05369591346153846,-280.3100280761719,170.9614715576172,-41.51301193237305,24.092575073242188,-8.051284790039062,-6.624423027038574,-25.221752166748047,-17.593542098999023,-17.58612060546875,-10.036429405212402,3.876293659210205,-0.19389548897743225,2.77908992767334,0.06732788681983948,0.3012802004814148,0.2805081605911255,0.09935013204813004,0.0814955085515976,0.08452802896499634,0.30640652775764465,0.26080843806266785,0.2688828110694885,0.3295424282550812,0.1511930376291275,0.0768757313489914,pia
004__[pia][nod][cla]1394__2.wav,0.008532939478754997,622.664873898264,1137.2961500708234,814.1207181490385,0.03285757211538461,-591.1265869140625,197.7516326904297,60.27690124511719,12.49978256225586,3.5702285766601562,6.5459418296813965,-2.401108980178833,-8.88656234741211,-11.130812644958496,-0.5019088983535767,1.3139307498931885,-3.5441818237304688,-13.87356185913086,0.04356345534324646,0.06186778098344803,0.04215029999613762,0.04259655997157097,0.16906853020191193,0.4552251994609833,0.11085515469312668,0.07049574702978134,0.2425670623779297,0.518813967704773,0.5748664140701294,0.17892132699489594,pia
004__[pia][nod][cla]1394__3.wav,0.013982531614601612,595.5119481022105,925.3392955844835,724.8407451923077,0.035821063701923075,-553.6781616210938,196.88575744628906,33.05387878417969,6.309122562408447,13.174051284790039,-5.836143970489502,-14.481817245483398,-13.289650917053223,-18.236215591430664,-16.09204864501953,-9.747122764587402,-14.918968200683594,-12.479850769042969,0.041797831654548645,0.0985991433262825,0.0563252717256546,0.05357767269015312,0.1606673300266266,0.1454826295375824,0.03698199987411499,0.15550652146339417,0.6965477466583252,0.5535169243812561,0.106935515999794,0.014693459495902061,pia
024__[pia][nod][cla]1414__1.wav,0.01995222456753254,1031.458428629492,1170.2459598702908,1857.570049579327,0.06085486778846154,-359.5270690917969,191.1494598388672,-42.156375885009766,27.05636215209961,-4.490121364593506,-5.063628196716309,-3.5495333671569824,-8.864689826965332,-7.209877967834473,-2.7536466121673584,-2.8404698371887207,-2.5672831535339355,-0.9141364693641663,0.31617221236228943,0.16882462799549103,0.3427608907222748,0.2319616675376892,0.4236530065536499,0.3970806896686554,0.3052422106266022,0.31598132848739624,0.2451181262731552,0.4296594560146332,0.24861711263656616,0.30027079582214355,pia
024__[pia][nod][cla]1414__2.wav,0.017200883477926254,1218.6670629058665,1268.613683788106,2282.436711237981,0.0847919170673077,-361.30181884765625,177.9849395751953,-50.114654541015625,30.823749542236328,-5.521220684051514,2.087265968322754,0.23080280423164368,-3.709291696548462,-7.344146728515625,-1.881174921989441,-8.621271133422852,-7.2518110275268555,-2.4047698974609375,0.2494478076696396,0.16786335408687592,0.3621981739997864,0.271361768245697,0.3548615574836731,0.3024892508983612,0.2179497331380844,0.2406746745109558,0.30308055877685547,0.6769044399261475,0.249858558177948,0.2488768994808197,pia
024__[pia][nod][cla]1414__3.wav,0.01605561375617981,1139.540369887051,1144.0962896257633,1853.5118689903845,0.08018704927884615,-393.7315673828125,178.0595703125,-42.552974700927734,12.640912055969238,-16.706085205078125,-8.504420280456543,-8.705500602722168,-8.04698371887207,7.0718865394592285,8.101275444030762,-3.4886257648468018,-5.418929576873779,5.9105730056762695,0.211629256606102,0.12086702883243561,0.21592497825622559,0.11340994387865067,0.32373103499412537,0.27241331338882446,0.1059524193406105,0.1691807210445404,0.09604096412658691,0.22420328855514526,0.5449332594871521,0.2084065079689026,pia
027__[pia][nod][cla]1398__1.wav,0.014721181243658066,901.0525411143769,1209.3001566192013,1575.6507286658655,0.057774939903846155,-474.1935119628906,173.74588012695312,8.855819702148438,15.251314163208008,7.948733329772949,6.083864212036133,-1.0518265962600708,-9.24094009399414,-10.863845825195312,-8.260530471801758,-3.6457231044769287,3.952066659927368,-1.451246738433838,0.334476113319397,0.6494236588478088,0.21567469835281372,0.18508940935134888,0.1954956352710724,0.5268931984901428,0.1606312394142151,0.050104621797800064,0.12555447220802307,0.054130442440509796,0.01153394766151905,0.0435175746679306,pia
027__[pia][nod][cla]1398__2.wav,0.03853321820497513,926.4834498451991,1143.1387354797457,1503.017578125,0.058924278846153845,-320.68280029296875,190.41111755371094,-21.666706085205078,18.34027862548828,-4.984961986541748,-6.58308219909668,-7.451483726501465,-7.20490837097168,-5.60823392868042,-7.825740814208984,-16.082128524780273,-15.865501403808594,-10.622252464294434,0.20636798441410065,0.24091152846813202,0.14839865267276764,0.3538396954536438,0.15860624611377716,0.2966051995754242,0.38982251286506653,0.19265447556972504,0.5233896374702454,0.28401342034339905,0.06431060284376144,0.13785147666931152,pia
027__[pia][nod][cla]1398__3.wav,0.07399934530258179,1123.2053000170317,1253.363959180585,1946.0218224158655,0.06929837740384616,-219.99293518066406,176.13719177246094,-40.89521789550781,22.35392951965332,-6.68290901184082,1.4028092622756958,-9.625060081481934,-5.8813700675964355,-7.7397565841674805,0.3457842171192169,-19.655839920043945,-15.519364356994629,-8.589049339294434,0.18473340570926666,0.175374835729599,0.17435745894908905,0.4519733786582947,0.16427646577358246,0.15663540363311768,0.4220103919506073,0.3076590299606323,0.514513373374939,0.3548724055290222,0.14142857491970062,0.16414518654346466,pia
029__[pia][nod][cla]1411__1.wav,0.05115826800465584,740.757180865737,754.1631281934345,1027.3822490985576,0.053218900240384615,-374.28515625,186.1008758544922,8.200569152832031,1.0859086513519287,-1.9308720827102661,-15.381488800048828,-16.446548461914062,-18.034486770629883,-7.533315181732178,-2.578995704650879,2.3551383018493652,9.131072998046875,5.89324951171875,0.020409641787409782,0.1834050863981247,0.5274608731269836,0.2166377156972885,0.19642695784568787,0.5546436905860901,0.1220102459192276,0.07370945811271667,0.01572803035378456,0.024181103333830833,0.05345270037651062,0.017408525571227074,pia
029__[pia][nod][cla]1411__2.wav,0.01500609889626503,1026.3666406278276,1303.0397491584106,1944.6138822115386,0.04640174278846154,-450.55810546875,159.776611328125,-12.48629093170166,26.293581008911133,4.61820125579834,-8.430421829223633,-10.937830924987793,-6.176615238189697,-12.569328308105469,-5.314296722412109,-9.44687271118164,-8.339980125427246,-0.2173662632703781,0.13413149118423462,0.06327559798955917,0.127121239900589,0.0882149487733841,0.16358943283557892,0.45155683159828186,0.10279548168182373,0.013141542673110962,0.023128043860197067,0.2419407069683075,0.6207930445671082,0.16758450865745544,pia
